[opt] evaluating low-fidelity baseline candidate
[sim] emission 1/72 (count=  1.4%, route=  0.0%) time=2026-02-09T18:00:00+00:00 elapsed=   0.00m eta=  11.83m | aircraft lat=+44.8848 lon= -93.2223 alt=16500.0m ( 54133.9ft) speed= 425.4m/s ( 826.8kt) mach=1.25 eff_mach=1.375 | mode=takeoff_climb | atmo T=214.90K RH=  1.1% p=  95.52hPa c=293.88m/s w_proj=+15.55m/s c_eff=309.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.9 cutoff=no terminal_alt=[  -50.3,32733.9]m
[sim] emission 6/72 (count=  8.3%, route=  2.4%) time=2026-02-09T18:00:50+00:00 elapsed=   0.83m eta=  11.00m | aircraft lat=+44.8066 lon= -92.9853 alt=16669.1m ( 54688.7ft) speed= 398.7m/s ( 775.0kt) mach=1.17 eff_mach=1.289 | mode=takeoff_climb | atmo T=214.60K RH=  1.1% p=  93.18hPa c=293.67m/s w_proj=+15.52m/s c_eff=309.19m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.6 cutoff=no terminal_alt=[   -9.6,32794.3]m
[sim] emission 7/72 (count=  9.7%, route=  2.9%) time=2026-02-09T18:01:00+00:00 elapsed=   1.00m eta=  10.83m | aircraft lat=+44.7909 lon= -92.9380 alt=16710.0m ( 54822.7ft) speed= 398.7m/s ( 775.0kt) mach=1.17 eff_mach=1.290 | mode=takeoff_climb | atmo T=214.59K RH=  1.1% p=  92.61hPa c=293.66m/s w_proj=+15.44m/s c_eff=309.10m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.2 cutoff=no terminal_alt=[ -331.9,32742.4]m
[sim] emission 8/72 (count= 11.1%, route=  3.4%) time=2026-02-09T18:01:10+00:00 elapsed=   1.17m eta=  10.67m | aircraft lat=+44.7752 lon= -92.8907 alt=16744.9m ( 54937.3ft) speed= 398.7m/s ( 774.9kt) mach=1.17 eff_mach=1.290 | mode=takeoff_climb | atmo T=214.49K RH=  1.1% p=  92.12hPa c=293.59m/s w_proj=+15.39m/s c_eff=308.98m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.0 cutoff=no terminal_alt=[  -42.8,32808.2]m
[sim] emission 9/72 (count= 12.5%, route=  3.8%) time=2026-02-09T18:01:20+00:00 elapsed=   1.33m eta=  10.50m | aircraft lat=+44.7595 lon= -92.8434 alt=16774.7m ( 55035.2ft) speed= 398.6m/s ( 774.9kt) mach=1.17 eff_mach=1.290 | mode=takeoff_climb | atmo T=214.48K RH=  1.1% p=  91.69hPa c=293.59m/s w_proj=+15.34m/s c_eff=308.92m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.8 cutoff=no terminal_alt=[   -3.4,32785.0]m
[sim] emission 10/72 (count= 13.9%, route=  4.3%) time=2026-02-09T18:01:30+00:00 elapsed=   1.50m eta=  10.33m | aircraft lat=+44.7437 lon= -92.7962 alt=16788.8m ( 55081.4ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=214.33K RH=  1.1% p=  91.48hPa c=293.48m/s w_proj=+15.36m/s c_eff=308.84m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[   -9.9,32569.9]m
[sim] emission 11/72 (count= 15.3%, route=  4.8%) time=2026-02-09T18:01:40+00:00 elapsed=   1.67m eta=  10.17m | aircraft lat=+44.7280 lon= -92.7490 alt=16791.1m ( 55088.9ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=214.33K RH=  1.1% p=  91.44hPa c=293.48m/s w_proj=+15.43m/s c_eff=308.91m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.6 cutoff=no terminal_alt=[   -9.2,32750.9]m
[sim] emission 12/72 (count= 16.7%, route=  5.3%) time=2026-02-09T18:01:50+00:00 elapsed=   1.83m eta=  10.00m | aircraft lat=+44.7122 lon= -92.7018 alt=16794.4m ( 55099.7ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=214.20K RH=  1.1% p=  91.39hPa c=293.39m/s w_proj=+15.43m/s c_eff=308.83m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[   -8.1,32648.8]m
[sim] emission 13/72 (count= 18.1%, route=  5.8%) time=2026-02-09T18:02:00+00:00 elapsed=   2.00m eta=   9.83m | aircraft lat=+44.6964 lon= -92.6546 alt=16799.0m ( 55114.7ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=214.20K RH=  1.1% p=  91.32hPa c=293.39m/s w_proj=+15.50m/s c_eff=308.89m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[   -6.6,32709.1]m
[sim] emission 14/72 (count= 19.4%, route=  6.2%) time=2026-02-09T18:02:10+00:00 elapsed=   2.17m eta=   9.67m | aircraft lat=+44.6806 lon= -92.6074 alt=16805.0m ( 55134.4ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=214.11K RH=  1.1% p=  91.23hPa c=293.34m/s w_proj=+15.54m/s c_eff=308.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.9 cutoff=no terminal_alt=[  -24.0,32654.4]m
[sim] emission 15/72 (count= 20.8%, route=  6.7%) time=2026-02-09T18:02:20+00:00 elapsed=   2.33m eta=   9.50m | aircraft lat=+44.6648 lon= -92.5603 alt=16812.6m ( 55159.6ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=214.09K RH=  1.1% p=  91.13hPa c=293.32m/s w_proj=+15.56m/s c_eff=308.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.6 cutoff=no terminal_alt=[  -40.3,32759.7]m
[sim] emission 16/72 (count= 22.2%, route=  7.2%) time=2026-02-09T18:02:30+00:00 elapsed=   2.50m eta=   9.33m | aircraft lat=+44.6490 lon= -92.5132 alt=16822.1m ( 55190.6ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=214.05K RH=  1.1% p=  90.99hPa c=293.29m/s w_proj=+15.59m/s c_eff=308.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.1 cutoff=no terminal_alt=[  -21.8,32689.5]m
[sim] emission 17/72 (count= 23.6%, route=  7.7%) time=2026-02-09T18:02:40+00:00 elapsed=   2.67m eta=   9.17m | aircraft lat=+44.6331 lon= -92.4661 alt=16833.5m ( 55227.9ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=214.03K RH=  1.1% p=  90.84hPa c=293.28m/s w_proj=+15.60m/s c_eff=308.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.2 cutoff=no terminal_alt=[  -15.7,32727.9]m
[sim] emission 18/72 (count= 25.0%, route=  8.2%) time=2026-02-09T18:02:50+00:00 elapsed=   2.83m eta=   9.00m | aircraft lat=+44.6181 lon= -92.4185 alt=16841.6m ( 55254.7ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=213.97K RH=  1.2% p=  90.72hPa c=293.24m/s w_proj=+15.59m/s c_eff=308.83m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.1 cutoff=no terminal_alt=[  -36.5,32821.9]m
[sim] emission 19/72 (count= 26.4%, route=  8.7%) time=2026-02-09T18:03:00+00:00 elapsed=   3.00m eta=   8.83m | aircraft lat=+44.6046 lon= -92.3700 alt=16842.7m ( 55258.2ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=213.96K RH=  1.2% p=  90.71hPa c=293.23m/s w_proj=+15.56m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.0 cutoff=no terminal_alt=[   -8.0,32722.0]m
[sim] emission 20/72 (count= 27.8%, route=  9.1%) time=2026-02-09T18:03:10+00:00 elapsed=   3.17m eta=   8.67m | aircraft lat=+44.5924 lon= -92.3209 alt=16838.1m ( 55243.1ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=213.92K RH=  1.2% p=  90.79hPa c=293.20m/s w_proj=+15.60m/s c_eff=308.81m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.4 cutoff=no terminal_alt=[  -41.9,32834.0]m
[sim] emission 21/72 (count= 29.2%, route=  9.6%) time=2026-02-09T18:03:20+00:00 elapsed=   3.33m eta=   8.50m | aircraft lat=+44.5811 lon= -92.2713 alt=16829.0m ( 55213.3ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.291 | mode=enroute | atmo T=213.92K RH=  1.2% p=  90.92hPa c=293.20m/s w_proj=+15.64m/s c_eff=308.84m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.8 cutoff=no terminal_alt=[   -3.4,32851.5]m
[sim] emission 22/72 (count= 30.6%, route= 10.1%) time=2026-02-09T18:03:30+00:00 elapsed=   3.50m eta=   8.33m | aircraft lat=+44.5707 lon= -92.2214 alt=16816.2m ( 55171.3ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=213.90K RH=  1.2% p=  91.10hPa c=293.19m/s w_proj=+15.69m/s c_eff=308.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.1 cutoff=no terminal_alt=[   -4.7,32717.0]m
[sim] emission 23/72 (count= 31.9%, route= 10.6%) time=2026-02-09T18:03:40+00:00 elapsed=   3.67m eta=   8.17m | aircraft lat=+44.5608 lon= -92.1712 alt=16800.8m ( 55120.8ft) speed= 398.6m/s ( 774.8kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=213.83K RH=  1.2% p=  91.32hPa c=293.14m/s w_proj=+15.80m/s c_eff=308.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.4 cutoff=no terminal_alt=[  -15.0,32829.4]m
[sim] emission 24/72 (count= 33.3%, route= 11.1%) time=2026-02-09T18:03:50+00:00 elapsed=   3.83m eta=   8.00m | aircraft lat=+44.5515 lon= -92.1209 alt=16783.7m ( 55064.6ft) speed= 398.6m/s ( 774.9kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=213.81K RH=  1.2% p=  91.56hPa c=293.13m/s w_proj=+15.89m/s c_eff=309.02m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.5 cutoff=no terminal_alt=[   -3.0,32725.2]m
[sim] emission 25/72 (count= 34.7%, route= 11.6%) time=2026-02-09T18:04:00+00:00 elapsed=   4.00m eta=   7.83m | aircraft lat=+44.5426 lon= -92.0704 alt=16765.5m ( 55004.9ft) speed= 398.6m/s ( 774.9kt) mach=1.17 eff_mach=1.290 | mode=enroute | atmo T=213.83K RH=  1.2% p=  91.81hPa c=293.14m/s w_proj=+15.98m/s c_eff=309.13m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.4 cutoff=no terminal_alt=[  -16.4,32737.0]m
[sim] emission 26/72 (count= 36.1%, route= 12.0%) time=2026-02-09T18:04:10+00:00 elapsed=   4.17m eta=   7.67m | aircraft lat=+44.5339 lon= -92.0198 alt=16746.7m ( 54943.3ft) speed= 398.7m/s ( 775.0kt) mach=1.17 eff_mach=1.289 | mode=enroute | atmo T=213.84K RH=  1.2% p=  92.07hPa c=293.15m/s w_proj=+16.10m/s c_eff=309.25m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.0 cutoff=no terminal_alt=[   -4.9,32846.9]m
[sim] emission 27/72 (count= 37.5%, route= 12.5%) time=2026-02-09T18:04:20+00:00 elapsed=   4.33m eta=   7.50m | aircraft lat=+44.5256 lon= -91.9690 alt=16727.9m ( 54881.5ft) speed= 398.7m/s ( 775.1kt) mach=1.17 eff_mach=1.289 | mode=enroute | atmo T=213.80K RH=  1.2% p=  92.33hPa c=293.12m/s w_proj=+16.24m/s c_eff=309.36m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.5 cutoff=no terminal_alt=[   -1.1,32826.5]m
[sim] emission 28/72 (count= 38.9%, route= 13.0%) time=2026-02-09T18:04:30+00:00 elapsed=   4.50m eta=   7.33m | aircraft lat=+44.5174 lon= -91.9183 alt=16709.3m ( 54820.7ft) speed= 398.8m/s ( 775.1kt) mach=1.17 eff_mach=1.288 | mode=enroute | atmo T=213.78K RH=  1.2% p=  92.59hPa c=293.11m/s w_proj=+16.42m/s c_eff=309.53m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.5 cutoff=no terminal_alt=[   -6.2,32596.9]m
[sim] emission 29/72 (count= 40.3%, route= 13.5%) time=2026-02-09T18:04:40+00:00 elapsed=   4.67m eta=   7.17m | aircraft lat=+44.5093 lon= -91.8674 alt=16691.5m ( 54762.0ft) speed= 398.8m/s ( 775.2kt) mach=1.17 eff_mach=1.288 | mode=enroute | atmo T=213.79K RH=  1.2% p=  92.83hPa c=293.11m/s w_proj=+16.53m/s c_eff=309.64m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.1 cutoff=no terminal_alt=[   -8.7,32737.8]m
[sim] emission 30/72 (count= 41.7%, route= 14.0%) time=2026-02-09T18:04:50+00:00 elapsed=   4.83m eta=   7.00m | aircraft lat=+44.5013 lon= -91.8165 alt=16674.6m ( 54706.6ft) speed= 398.8m/s ( 775.3kt) mach=1.17 eff_mach=1.288 | mode=enroute | atmo T=213.77K RH=  1.2% p=  93.07hPa c=293.10m/s w_proj=+16.67m/s c_eff=309.77m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.5 cutoff=no terminal_alt=[   -2.0,32730.8]m
[sim] emission 31/72 (count= 43.1%, route= 14.5%) time=2026-02-09T18:05:00+00:00 elapsed=   5.00m eta=   6.83m | aircraft lat=+44.4935 lon= -91.7656 alt=16658.9m ( 54655.0ft) speed= 398.9m/s ( 775.4kt) mach=1.17 eff_mach=1.287 | mode=enroute | atmo T=213.78K RH=  1.2% p=  93.29hPa c=293.11m/s w_proj=+16.80m/s c_eff=309.90m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[  -14.4,32578.3]m
[sim] emission 32/72 (count= 44.4%, route= 14.9%) time=2026-02-09T18:05:10+00:00 elapsed=   5.17m eta=   6.67m | aircraft lat=+44.4857 lon= -91.7146 alt=16644.6m ( 54608.2ft) speed= 398.9m/s ( 775.5kt) mach=1.17 eff_mach=1.287 | mode=enroute | atmo T=213.77K RH=  1.2% p=  93.48hPa c=293.10m/s w_proj=+16.89m/s c_eff=309.99m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.1 cutoff=no terminal_alt=[  -14.5,32860.1]m
[sim] emission 33/72 (count= 45.8%, route= 15.4%) time=2026-02-09T18:05:20+00:00 elapsed=   5.33m eta=   6.50m | aircraft lat=+44.4779 lon= -91.6636 alt=16631.9m ( 54566.6ft) speed= 399.0m/s ( 775.5kt) mach=1.17 eff_mach=1.287 | mode=enroute | atmo T=213.75K RH=  1.2% p=  93.66hPa c=293.09m/s w_proj=+16.94m/s c_eff=310.03m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.6 cutoff=no terminal_alt=[   -2.2,32850.6]m
[sim] emission 34/72 (count= 47.2%, route= 15.9%) time=2026-02-09T18:05:30+00:00 elapsed=   5.50m eta=   6.33m | aircraft lat=+44.4702 lon= -91.6126 alt=16621.0m ( 54530.8ft) speed= 399.0m/s ( 775.5kt) mach=1.17 eff_mach=1.287 | mode=enroute | atmo T=213.71K RH=  1.2% p=  93.80hPa c=293.06m/s w_proj=+17.02m/s c_eff=310.08m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.4 cutoff=no terminal_alt=[   -1.1,32745.3]m
[sim] emission 35/72 (count= 48.6%, route= 16.4%) time=2026-02-09T18:05:40+00:00 elapsed=   5.67m eta=   6.17m | aircraft lat=+44.4625 lon= -91.5615 alt=16612.0m ( 54501.3ft) speed= 399.0m/s ( 775.6kt) mach=1.17 eff_mach=1.286 | mode=enroute | atmo T=213.68K RH=  1.2% p=  93.92hPa c=293.04m/s w_proj=+17.17m/s c_eff=310.21m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.0 cutoff=no terminal_alt=[   -6.4,32644.5]m
[sim] emission 36/72 (count= 50.0%, route= 16.9%) time=2026-02-09T18:05:50+00:00 elapsed=   5.83m eta=   6.00m | aircraft lat=+44.4548 lon= -91.5105 alt=16605.0m ( 54478.4ft) speed= 399.0m/s ( 775.7kt) mach=1.17 eff_mach=1.286 | mode=enroute | atmo T=213.61K RH=  1.2% p=  94.01hPa c=292.99m/s w_proj=+17.27m/s c_eff=310.26m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.4 cutoff=no terminal_alt=[  -11.7,32651.3]m
[sim] emission 37/72 (count= 51.4%, route= 17.4%) time=2026-02-09T18:06:00+00:00 elapsed=   6.00m eta=   5.83m | aircraft lat=+44.4471 lon= -91.4595 alt=16600.1m ( 54462.4ft) speed= 399.0m/s ( 775.7kt) mach=1.17 eff_mach=1.286 | mode=enroute | atmo T=213.61K RH=  1.2% p=  94.07hPa c=292.99m/s w_proj=+17.35m/s c_eff=310.34m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.9 cutoff=no terminal_alt=[  -19.9,32819.5]m
[sim] emission 38/72 (count= 52.8%, route= 17.8%) time=2026-02-09T18:06:10+00:00 elapsed=   6.17m eta=   5.67m | aircraft lat=+44.4391 lon= -91.4085 alt=16597.4m ( 54453.4ft) speed= 399.1m/s ( 775.7kt) mach=1.17 eff_mach=1.285 | mode=enroute | atmo T=213.66K RH=  1.2% p=  94.10hPa c=293.02m/s w_proj=+17.56m/s c_eff=310.59m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.8 cutoff=no terminal_alt=[  -27.7,32759.5]m
[sim] emission 39/72 (count= 54.2%, route= 18.3%) time=2026-02-09T18:06:20+00:00 elapsed=   6.33m eta=   5.50m | aircraft lat=+44.4295 lon= -91.3580 alt=16596.3m ( 54449.9ft) speed= 399.2m/s ( 775.9kt) mach=1.17 eff_mach=1.284 | mode=enroute | atmo T=213.64K RH=  1.2% p=  94.11hPa c=293.01m/s w_proj=+17.78m/s c_eff=310.80m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.6 cutoff=no terminal_alt=[  -36.0,32712.5]m
[sim] emission 40/72 (count= 55.6%, route= 18.8%) time=2026-02-09T18:06:30+00:00 elapsed=   6.50m eta=   5.33m | aircraft lat=+44.4185 lon= -91.3081 alt=16597.0m ( 54452.2ft) speed= 399.2m/s ( 776.0kt) mach=1.17 eff_mach=1.284 | mode=enroute | atmo T=213.63K RH=  1.2% p=  94.09hPa c=293.00m/s w_proj=+17.99m/s c_eff=311.00m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.1 cutoff=no terminal_alt=[  -16.5,32735.3]m
[sim] emission 41/72 (count= 56.9%, route= 19.3%) time=2026-02-09T18:06:40+00:00 elapsed=   6.67m eta=   5.17m | aircraft lat=+44.4064 lon= -91.2586 alt=16599.6m ( 54460.7ft) speed= 399.3m/s ( 776.2kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.62K RH=  1.2% p=  94.05hPa c=293.00m/s w_proj=+18.15m/s c_eff=311.15m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.9 cutoff=no terminal_alt=[   -1.0,32683.0]m
[sim] emission 42/72 (count= 58.3%, route= 19.8%) time=2026-02-09T18:06:50+00:00 elapsed=   6.83m eta=   5.00m | aircraft lat=+44.3933 lon= -91.2096 alt=16604.3m ( 54476.1ft) speed= 399.3m/s ( 776.2kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.65K RH=  1.2% p=  93.98hPa c=293.02m/s w_proj=+18.22m/s c_eff=311.25m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.5 cutoff=no terminal_alt=[  -26.7,32790.4]m
[sim] emission 43/72 (count= 59.7%, route= 20.3%) time=2026-02-09T18:07:00+00:00 elapsed=   7.00m eta=   4.83m | aircraft lat=+44.3795 lon= -91.1610 alt=16611.4m ( 54499.2ft) speed= 399.4m/s ( 776.3kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.65K RH=  1.2% p=  93.88hPa c=293.02m/s w_proj=+18.29m/s c_eff=311.31m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.9 cutoff=no terminal_alt=[   -4.2,32635.0]m
[sim] emission 44/72 (count= 61.1%, route= 20.8%) time=2026-02-09T18:07:10+00:00 elapsed=   7.17m eta=   4.67m | aircraft lat=+44.3652 lon= -91.1127 alt=16620.6m ( 54529.6ft) speed= 399.4m/s ( 776.3kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.69K RH=  1.1% p=  93.74hPa c=293.05m/s w_proj=+18.30m/s c_eff=311.35m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.9 cutoff=no terminal_alt=[   -1.1,32804.4]m
[sim] emission 45/72 (count= 62.5%, route= 21.3%) time=2026-02-09T18:07:20+00:00 elapsed=   7.33m eta=   4.50m | aircraft lat=+44.3504 lon= -91.0647 alt=16632.1m ( 54567.4ft) speed= 399.4m/s ( 776.3kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.72K RH=  1.1% p=  93.58hPa c=293.06m/s w_proj=+18.29m/s c_eff=311.35m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.1 cutoff=no terminal_alt=[   -4.2,32779.6]m
[sim] emission 46/72 (count= 63.9%, route= 21.8%) time=2026-02-09T18:07:30+00:00 elapsed=   7.50m eta=   4.33m | aircraft lat=+44.3352 lon= -91.0170 alt=16646.0m ( 54612.9ft) speed= 399.4m/s ( 776.3kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.71K RH=  1.1% p=  93.38hPa c=293.06m/s w_proj=+18.22m/s c_eff=311.27m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.1 cutoff=no terminal_alt=[  -38.1,32742.9]m
[sim] emission 47/72 (count= 65.3%, route= 22.2%) time=2026-02-09T18:07:40+00:00 elapsed=   7.67m eta=   4.17m | aircraft lat=+44.3197 lon= -90.9694 alt=16662.3m ( 54666.4ft) speed= 399.4m/s ( 776.3kt) mach=1.17 eff_mach=1.283 | mode=enroute | atmo T=213.63K RH=  1.1% p=  93.15hPa c=293.01m/s w_proj=+18.15m/s c_eff=311.16m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.5 cutoff=no terminal_alt=[  -36.4,32833.4]m
[sim] emission 48/72 (count= 66.7%, route= 22.7%) time=2026-02-09T18:07:50+00:00 elapsed=   7.83m eta=   4.00m | aircraft lat=+44.3040 lon= -90.9220 alt=16681.0m ( 54727.8ft) speed= 399.3m/s ( 776.2kt) mach=1.17 eff_mach=1.284 | mode=enroute | atmo T=213.62K RH=  1.1% p=  92.89hPa c=293.00m/s w_proj=+18.10m/s c_eff=311.09m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.5 cutoff=no terminal_alt=[  -22.3,32886.5]m
[sim] emission 49/72 (count= 68.1%, route= 23.2%) time=2026-02-09T18:08:00+00:00 elapsed=   8.00m eta=   3.83m | aircraft lat=+44.2881 lon= -90.8748 alt=16702.3m ( 54797.5ft) speed= 399.3m/s ( 776.2kt) mach=1.17 eff_mach=1.284 | mode=enroute | atmo T=213.54K RH=  1.1% p=  92.58hPa c=292.94m/s w_proj=+18.01m/s c_eff=310.96m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.0 cutoff=no terminal_alt=[  -41.1,32799.4]m
[sim] emission 50/72 (count= 69.4%, route= 23.7%) time=2026-02-09T18:08:10+00:00 elapsed=   8.17m eta=   3.67m | aircraft lat=+44.2721 lon= -90.8277 alt=16726.0m ( 54875.4ft) speed= 399.2m/s ( 776.1kt) mach=1.17 eff_mach=1.284 | mode=enroute | atmo T=213.53K RH=  1.1% p=  92.25hPa c=292.93m/s w_proj=+17.98m/s c_eff=310.92m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.6 cutoff=no terminal_alt=[  -35.7,32847.9]m
