[opt] evaluating low-fidelity baseline candidate
[sim] emission 32/72 (count= 44.4%, window= 43.7%, route= 20.7%) time=2026-02-09T18:05:10+00:00 elapsed=   5.17m remaining=   6.67m | aircraft lat=+44.5198 lon= -91.8703 alt=16393.5m ( 53784.4ft) speed= 354.5m/s ( 689.1kt) mach=1.04 eff_mach=1.139 | mode=enroute | atmo T=213.85K RH=  1.2% p=  96.98hPa c=293.16m/s w_proj=+18.03m/s c_eff=311.18m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.2 cutoff=yes terminal_alt=[32126.1,32758.3]m
[sim] emission 33/72 (count= 45.8%, window= 45.1%, route= 21.3%) time=2026-02-09T18:05:20+00:00 elapsed=   5.33m remaining=   6.50m | aircraft lat=+44.5080 lon= -91.8266 alt=16389.5m ( 53771.3ft) speed= 354.5m/s ( 689.1kt) mach=1.04 eff_mach=1.139 | mode=enroute | atmo T=213.84K RH=  1.2% p=  97.03hPa c=293.15m/s w_proj=+18.14m/s c_eff=311.29m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.5 cutoff=yes terminal_alt=[32332.7,32626.6]m
[sim] emission 34/72 (count= 47.2%, window= 46.5%, route= 22.0%) time=2026-02-09T18:05:30+00:00 elapsed=   5.50m remaining=   6.33m | aircraft lat=+44.4962 lon= -91.7829 alt=16386.8m ( 53762.4ft) speed= 354.6m/s ( 689.2kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.84K RH=  1.2% p=  97.07hPa c=293.15m/s w_proj=+18.27m/s c_eff=311.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.8 cutoff=yes terminal_alt=[32158.9,32728.6]m
[sim] emission 35/72 (count= 48.6%, window= 47.9%, route= 22.7%) time=2026-02-09T18:05:40+00:00 elapsed=   5.67m remaining=   6.17m | aircraft lat=+44.4844 lon= -91.7391 alt=16385.5m ( 53758.3ft) speed= 354.6m/s ( 689.3kt) mach=1.04 eff_mach=1.139 | mode=enroute | atmo T=213.84K RH=  1.2% p=  97.09hPa c=293.15m/s w_proj=+18.27m/s c_eff=311.43m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.8 cutoff=yes terminal_alt=[32191.0,32570.6]m
[sim] emission 36/72 (count= 50.0%, window= 49.3%, route= 23.3%) time=2026-02-09T18:05:50+00:00 elapsed=   5.83m remaining=   6.00m | aircraft lat=+44.4726 lon= -91.6954 alt=16385.8m ( 53759.2ft) speed= 354.6m/s ( 689.2kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.84K RH=  1.2% p=  97.08hPa c=293.15m/s w_proj=+18.34m/s c_eff=311.49m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.9 cutoff=yes terminal_alt=[32289.0,32728.0]m
[sim] emission 37/72 (count= 51.4%, window= 50.7%, route= 24.0%) time=2026-02-09T18:06:00+00:00 elapsed=   6.00m remaining=   5.83m | aircraft lat=+44.4607 lon= -91.6517 alt=16387.7m ( 53765.5ft) speed= 354.6m/s ( 689.3kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.77K RH=  1.2% p=  97.06hPa c=293.10m/s w_proj=+18.40m/s c_eff=311.50m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.9 cutoff=yes terminal_alt=[32329.5,32725.0]m
[sim] emission 38/72 (count= 52.8%, window= 52.1%, route= 24.7%) time=2026-02-09T18:06:10+00:00 elapsed=   6.17m remaining=   5.67m | aircraft lat=+44.4488 lon= -91.6080 alt=16391.4m ( 53777.5ft) speed= 354.6m/s ( 689.3kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.76K RH=  1.2% p=  97.00hPa c=293.09m/s w_proj=+18.46m/s c_eff=311.55m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.5 cutoff=yes terminal_alt=[32200.7,32718.0]m
[sim] emission 39/72 (count= 54.2%, window= 53.5%, route= 25.3%) time=2026-02-09T18:06:20+00:00 elapsed=   6.33m remaining=   5.50m | aircraft lat=+44.4369 lon= -91.5643 alt=16396.8m ( 53795.3ft) speed= 354.6m/s ( 689.3kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.76K RH=  1.2% p=  96.92hPa c=293.09m/s w_proj=+18.51m/s c_eff=311.60m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.8 cutoff=yes terminal_alt=[32164.3,32688.0]m
[sim] emission 40/72 (count= 55.6%, window= 54.9%, route= 26.0%) time=2026-02-09T18:06:30+00:00 elapsed=   6.50m remaining=   5.33m | aircraft lat=+44.4250 lon= -91.5206 alt=16404.1m ( 53819.1ft) speed= 354.6m/s ( 689.4kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.68K RH=  1.2% p=  96.81hPa c=293.04m/s w_proj=+18.63m/s c_eff=311.67m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.2 cutoff=yes terminal_alt=[32276.0,32730.3]m
[sim] emission 41/72 (count= 56.9%, window= 56.3%, route= 26.7%) time=2026-02-09T18:06:40+00:00 elapsed=   6.67m remaining=   5.17m | aircraft lat=+44.4130 lon= -91.4769 alt=16413.2m ( 53849.1ft) speed= 354.7m/s ( 689.4kt) mach=1.04 eff_mach=1.138 | mode=enroute | atmo T=213.68K RH=  1.2% p=  96.69hPa c=293.04m/s w_proj=+18.59m/s c_eff=311.63m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.2 cutoff=yes terminal_alt=[32222.4,32577.8]m
